column;activityName;product;geography;;system process
552;asbestos production, chrysotile type;asbestos, chrysotile type;GLO;;2
607;barite production;barite;CA-QC;;2
608;barite production;barite;RoW;;2
609;barite production;barite;RER;;2
660;basalt quarry operation;basalt;RoW;;2
661;basalt quarry operation;basalt;RER;;2
724;bauxite mine operation;bauxite;GLO;;2
775;bentonite quarry operation;bentonite;DE;;2
776;bentonite quarry operation;bentonite;RoW;;2
794;beryllium hydroxide production;beryllium hydroxide;RoW;;2
795;beryllium hydroxide production;beryllium hydroxide;US;;2
1001;burnt shale production;burnt shale;DE;;2
1002;burnt shale production;electricity, medium voltage;DE;;2
1003;burnt shale production;burnt shale;RoW;;2
1004;burnt shale production;electricity, medium voltage;RoW;;2
1421;chromite ore concentrate production;chromite ore concentrate;RoW;;2
1422;chromite ore concentrate production;chromite ore concentrate;KZ;;2
1476;clay pit operation;clay;CH;;2
1477;clay pit operation;clay;RoW;;2
1747;cobalt production;ammonia, anhydrous, liquid;GLO;;2
1748;cobalt production;ammonium sulfate;GLO;;2
1749;cobalt production;calcium carbonate, precipitated;GLO;;2
1750;cobalt production;cobalt;GLO;;2
1751;cobalt production;cobalt acetate;GLO;;2
1752;cobalt production;cobalt carbonate;GLO;;2
1753;cobalt production;cobalt hydroxide;GLO;;2
1754;cobalt production;cobalt oxide;GLO;;2
1755;cobalt production;copper cake;GLO;;2
1756;cobalt production;copper concentrate, sulfide ore;GLO;;2
1757;cobalt production;copper, anode;GLO;;2
1758;cobalt production;copper, cathode;GLO;;2
1759;cobalt production;electricity, high voltage;GLO;;2
1760;cobalt production;electrolyte, copper-rich;GLO;;2
1761;cobalt production;electrolyte, nickel-rich;GLO;;2
1762;cobalt production;ferronickel;GLO;;2
1763;cobalt production;nickel concentrate, 16% Ni;GLO;;2
1764;cobalt production;nickel sulfate;GLO;;2
1765;cobalt production;nickel, class 1;GLO;;2
1766;cobalt production;sulfur;GLO;;2
1767;cobalt production;sulfuric acid;GLO;;2
1768;cobalt production;zinc sulfide;GLO;;2
1771;cobwork production;cobwork;CH;;2
1772;cobwork production;cobwork;RoW;;2
1832;colemanite mine operation and beneficiation;calcium borates;RoW;;2
1833;colemanite mine operation and beneficiation;calcium borates;TR;;2
2090;copper mine operation and beneficiation, sulfide ore;copper concentrate, sulfide ore;AU;;2
2091;copper mine operation and beneficiation, sulfide ore;copper concentrate, sulfide ore;CA;;2
2092;copper mine operation and beneficiation, sulfide ore;molybdenite;CA;;2
2093;copper mine operation and beneficiation, sulfide ore;copper concentrate, sulfide ore;CL;;2
2094;copper mine operation and beneficiation, sulfide ore;molybdenite;CL;;2
2095;copper mine operation and beneficiation, sulfide ore;copper concentrate, sulfide ore;CN;;2
2096;copper mine operation and beneficiation, sulfide ore;molybdenite;CN;;2
2097;copper mine operation and beneficiation, sulfide ore;copper concentrate, sulfide ore;ID;;2
2098;copper mine operation and beneficiation, sulfide ore;copper concentrate, sulfide ore;KZ;;2
2099;copper mine operation and beneficiation, sulfide ore;copper concentrate, sulfide ore;RU;;2
2100;copper mine operation and beneficiation, sulfide ore;molybdenite;RU;;2
2101;copper mine operation and beneficiation, sulfide ore;copper concentrate, sulfide ore;RoW;;2
2102;copper mine operation and beneficiation, sulfide ore;molybdenite;RoW;;2
2103;copper mine operation and beneficiation, sulfide ore;copper concentrate, sulfide ore;US;;2
2104;copper mine operation and beneficiation, sulfide ore;molybdenite;US;;2
2105;copper mine operation and beneficiation, sulfide ore;copper concentrate, sulfide ore;ZM;;2
2108;copper production, cathode, solvent extraction and electrowinning process;copper, cathode;GLO;;2
2109;copper production, cathode, solvent extraction and electrowinning process;sulfuric acid;GLO;;2
2359;dolomite production;dolomite;RoW;;2
2360;dolomite production;dolomite;RER;;2
5551;feldspar production;feldspar;RoW;;2
5552;feldspar production;feldspar;RER;;2
5556;ferrochromium production, high-carbon, 55% Cr;ferrochromium, high-carbon, 55% Cr;RoW;;2
5557;ferrochromium production, high-carbon, 55% Cr;ferrochromium, high-carbon, 55% Cr;ZA;;2
5560;ferromanganese production, high-coal, 74.5% Mn;ferromanganese, high-coal, 74.5% Mn;RoW;;2
5561;ferromanganese production, high-coal, 74.5% Mn;ferromanganese, high-coal, 74.5% Mn;RER;;2
5562;ferronickel production;ferronickel;GLO;;2
5718;fluorspar production, 97% purity;fluorspar, 97% purity;GLO;;2
5851;gallium, in Bayer liquor from aluminium production;gallium, in Bayer liquor from aluminium production;GLO;;2
5943;gold mine operation and gold production, unrefined;gold, unrefined;RoW;;2
5944;gold mine operation and gold production, unrefined;gold, unrefined;ZA;;2
5945;gold mine operation and refining;copper, cathode;SE;;2
5946;gold mine operation and refining;gold;SE;;2
5947;gold mine operation and refining;lead;SE;;2
5948;gold mine operation and refining;silver;SE;;2
5949;gold mine operation and refining;zinc;SE;;2
5950;gold mine operation with extraction;gold-silver, ingot;PE;;2
5951;gold production;gold;AU;;2
5952;gold production;gold;CA;;2
5953;gold production;gold;TZ;;2
5954;gold production;gold;US;;2
5957;gold-silver mine operation and beneficiation;copper concentrate, sulfide ore;CA-QC;;2
5958;gold-silver mine operation and beneficiation;gold-silver, ingot;CA-QC;;2
5959;gold-silver mine operation and beneficiation;lead concentrate;CA-QC;;2
5960;gold-silver mine operation and beneficiation;zinc concentrate;CA-QC;;2
5961;gold-silver mine operation with refinery;gold;CA-QC;;2
5962;gold-silver mine operation with refinery;silver;CA-QC;;2
5963;gold-silver mine operation with refinery;gold;RoW;;2
5964;gold-silver mine operation with refinery;silver;RoW;;2
5965;gold-silver mine operation with refinery;gold;PG;;2
5966;gold-silver mine operation with refinery;silver;PG;;2
5975;graphite production;graphite;RoW;;2
5976;graphite production;graphite;RER;;2
5993;gravel and sand quarry operation;gravel, round;CH;;2
5994;gravel and sand quarry operation;sand;CH;;2
5995;gravel and sand quarry operation;gravel, round;RoW;;2
5996;gravel and sand quarry operation;sand;RoW;;2
5997;gravel production, crushed;gravel, crushed;BR;;2
5998;gravel production, crushed;gravel, crushed;CA-QC;;2
5999;gravel production, crushed;gravel, crushed;CH;;2
6000;gravel production, crushed;gravel, crushed;RoW;;2
6001;gravel production, crushed;gravel, crushed;IN;;2
6037;gypsum quarry operation;anhydrite rock;CH;;2
6038;gypsum quarry operation;gypsum, mineral;CH;;2
6039;gypsum quarry operation;anhydrite rock;RoW;;2
6040;gypsum quarry operation;gypsum, mineral;RoW;;2
6041;gypsum quarry operation;anhydrite rock;IN;;2
6042;gypsum quarry operation;gypsum, mineral;IN;;2
6043;gypsum quarry operation;anhydrite rock;ZA;;2
6044;gypsum quarry operation;gypsum, mineral;ZA;;2
6068;hard coal mine operation;hard coal, run-of-mine;IN;;2
6069;hard coal mine operation and hard coal preparation;hard coal;AU;;2
6070;hard coal mine operation and hard coal preparation;hard coal;CN;;2
6071;hard coal mine operation and hard coal preparation;hard coal;Europe, without Russia and TÃ¼rkiye;;2
6072;hard coal mine operation and hard coal preparation;hard coal;ID;;2
6073;hard coal mine operation and hard coal preparation;hard coal;RLA;;2
6074;hard coal mine operation and hard coal preparation;hard coal;RNA;;2
6075;hard coal mine operation and hard coal preparation;hard coal;RU;;2
6076;hard coal mine operation and hard coal preparation;hard coal;RoW;;2
6077;hard coal mine operation, open cast, dragline;hard coal, run-of-mine;ZA;;2
6078;hard coal mine operation, open cast, truck and shovel;hard coal, run-of-mine;ZA;;2
6079;hard coal mine operation, underground;hard coal, run-of-mine;ZA;;2
7171;heavy mineral sand quarry operation;ilmenite, 54% titanium dioxide;AU;;2
7172;heavy mineral sand quarry operation;rutile, 95% titanium dioxide;AU;;2
7173;heavy mineral sand quarry operation;zircon;AU;;2
7174;heavy mineral sand quarry operation;ilmenite, 54% titanium dioxide;RoW;;2
7175;heavy mineral sand quarry operation;rutile, 95% titanium dioxide;RoW;;2
7176;heavy mineral sand quarry operation;zircon;RoW;;2
7177;heavy mineral sand quarry operation and titania slag production;pig iron;ZA;;2
7178;heavy mineral sand quarry operation and titania slag production;rutile, 95% titanium dioxide;ZA;;2
7179;heavy mineral sand quarry operation and titania slag production;titania slag, 85% titanium dioxide;ZA;;2
7180;heavy mineral sand quarry operation and titania slag production;zircon;ZA;;2
7305;ilmenite - magnetite mine operation;ilmenite, 54% titanium dioxide;GLO;;2
7306;ilmenite - magnetite mine operation;magnetite;GLO;;2
7439;intral production;intral;RoW;;2
7440;intral production;intral;RER;;2
7455;iron ore mine operation and beneficiation;iron ore concentrate;CA-QC;;2
7456;iron ore mine operation, 46% Fe;iron ore, crude ore, 46% Fe;GLO;;2
7457;iron ore mine operation, 63% Fe;iron ore, crude ore, 63% Fe;IN;;2
7550;kaolin production;kaolin;RoW;;2
7551;kaolin production;kaolin;RER;;2
8053;laterite quarry operation;laterite, mineral;RoW;;2
8054;laterite quarry operation;laterite, mineral;IN;;2
8055;latex production;latex;RoW;;2
8056;latex production;latex;RER;;2
8082;layered sodium silicate production, SKS-6, powder;layered sodium silicate, SKS-6, powder;RoW;;2
8083;layered sodium silicate production, SKS-6, powder;layered sodium silicate, SKS-6, powder;RER;;2
8153;lignite mine operation;lignite;RoW;;2
8154;lignite mine operation;lignite;IN;;2
8155;lignite mine operation;lignite;RER;;2
8160;lime production, algae;lime;FR;;2
8188;limestone quarry operation;limestone, unprocessed;CA-QC;;2
8189;limestone quarry operation;limestone, unprocessed;CH;;2
8190;limestone quarry operation;limestone, unprocessed;RoW;;2
8191;limestone quarry operation;limestone, unprocessed;IN;;2
8238;lithium brine inspissation;lithium brine, 6.7 % Li;GLO;;2
8299;magnesium oxide production;magnesium oxide;RoW;;2
8300;magnesium oxide production;magnesium oxide;RER;;2
8306;magnesium sulfate production;magnesium sulfate;RoW;;2
8307;magnesium sulfate production;magnesium sulfate;RER;;2
8474;malusil production;malusil;RoW;;2
8475;malusil production;malusil;RER;;2
8487;manganese concentrate production;manganese concentrate;GLO;;2
15884;mercury production;mercury;GLO;;2
16034;molybdenite mine operation;copper concentrate, sulfide ore;GLO;;2
16035;molybdenite mine operation;molybdenite;GLO;;2
16136;natural gas venting from petroleum/natural gas production;natural gas, vented;GLO;;2
16487;natural stone plate production, cut;natural stone plate, cut;CH;;2
16488;natural stone plate production, cut;natural stone plate, cut;RoW;;2
16499;nickel mine operation and benefication to nickel concentrate, 16% Ni;nickel concentrate, 16% Ni;CA-QC;;2
16500;nickel mine operation and benefication to nickel concentrate, 7% Ni;nickel concentrate, 7% Ni;CN;;2
16501;nickel mine operation and benefication to nickel concentrate, 7% Ni;nickel concentrate, 7% Ni;RoW;;2
16503;niobium mine operation and beneficiation, from pyrochlore ore;barite;BR;;2
16504;niobium mine operation and beneficiation, from pyrochlore ore;iron ore concentrate;BR;;2
16505;niobium mine operation and beneficiation, from pyrochlore ore;pyrochlore concentrate;BR;;2
16506;niobium mine operation and beneficiation, from pyrochlore ore;barite;RoW;;2
16507;niobium mine operation and beneficiation, from pyrochlore ore;iron ore concentrate;RoW;;2
16508;niobium mine operation and beneficiation, from pyrochlore ore;pyrochlore concentrate;RoW;;2
16979;packaging glass production, brown;packaging glass, brown;CH;;2
16984;packaging glass production, green;packaging glass, green;CH;;2
16989;packaging glass production, white;packaging glass, white;CH;;2
17130;perlite quarry operation;perlite;DE;;2
17131;perlite quarry operation;perlite;RoW;;2
17161;petroleum and gas production, offshore;natural gas, high pressure;AE;;2
17162;petroleum and gas production, offshore;petroleum;AE;;2
17163;petroleum and gas production, offshore;natural gas, high pressure;AR;;2
17164;petroleum and gas production, offshore;petroleum;AR;;2
17165;petroleum and gas production, offshore;natural gas, high pressure;AU;;2
17166;petroleum and gas production, offshore;petroleum;AU;;2
17167;petroleum and gas production, offshore;natural gas, high pressure;AZ;;2
17168;petroleum and gas production, offshore;petroleum;AZ;;2
17169;petroleum and gas production, offshore;natural gas, high pressure;BR;;2
17170;petroleum and gas production, offshore;petroleum;BR;;2
17171;petroleum and gas production, offshore;natural gas, high pressure;CA;;2
17172;petroleum and gas production, offshore;petroleum;CA;;2
17173;petroleum and gas production, offshore;natural gas, high pressure;CN;;2
17174;petroleum and gas production, offshore;petroleum;CN;;2
17175;petroleum and gas production, offshore;natural gas, high pressure;CO;;2
17176;petroleum and gas production, offshore;petroleum;CO;;2
17177;petroleum and gas production, offshore;natural gas, high pressure;DE;;2
17178;petroleum and gas production, offshore;petroleum;DE;;2
17179;petroleum and gas production, offshore;natural gas, high pressure;EC;;2
17180;petroleum and gas production, offshore;petroleum;EC;;2
17181;petroleum and gas production, offshore;natural gas, high pressure;EG;;2
17182;petroleum and gas production, offshore;petroleum;EG;;2
17183;petroleum and gas production, offshore;natural gas, high pressure;GB;;2
17184;petroleum and gas production, offshore;petroleum;GB;;2
17185;petroleum and gas production, offshore;natural gas, high pressure;ID;;2
17186;petroleum and gas production, offshore;petroleum;ID;;2
17187;petroleum and gas production, offshore;natural gas, high pressure;IN;;2
17188;petroleum and gas production, offshore;petroleum;IN;;2
17189;petroleum and gas production, offshore;natural gas, high pressure;IR;;2
17190;petroleum and gas production, offshore;petroleum;IR;;2
17191;petroleum and gas production, offshore;natural gas, high pressure;IT;;2
17192;petroleum and gas production, offshore;petroleum;IT;;2
17193;petroleum and gas production, offshore;natural gas, high pressure;KW;;2
17194;petroleum and gas production, offshore;petroleum;KW;;2
17195;petroleum and gas production, offshore;natural gas, high pressure;KZ;;2
17196;petroleum and gas production, offshore;petroleum;KZ;;2
17197;petroleum and gas production, offshore;natural gas, high pressure;LY;;2
17198;petroleum and gas production, offshore;petroleum;LY;;2
17199;petroleum and gas production, offshore;natural gas, high pressure;MX;;2
17200;petroleum and gas production, offshore;petroleum;MX;;2
17201;petroleum and gas production, offshore;natural gas, high pressure;MY;;2
17202;petroleum and gas production, offshore;petroleum;MY;;2
17203;petroleum and gas production, offshore;natural gas, high pressure;NG;;2
17204;petroleum and gas production, offshore;petroleum;NG;;2
17205;petroleum and gas production, offshore;natural gas, high pressure;NL;;2
17206;petroleum and gas production, offshore;petroleum;NL;;2
17207;petroleum and gas production, offshore;natural gas, high pressure;NO;;2
17208;petroleum and gas production, offshore;petroleum;NO;;2
17209;petroleum and gas production, offshore;natural gas, high pressure;PE;;2
17210;petroleum and gas production, offshore;petroleum;PE;;2
17211;petroleum and gas production, offshore;natural gas, high pressure;PL;;2
17212;petroleum and gas production, offshore;petroleum;PL;;2
17213;petroleum and gas production, offshore;natural gas, high pressure;QA;;2
17214;petroleum and gas production, offshore;petroleum;QA;;2
17215;petroleum and gas production, offshore;natural gas, high pressure;RO;;2
17216;petroleum and gas production, offshore;petroleum;RO;;2
17217;petroleum and gas production, offshore;natural gas, high pressure;RU;;2
17218;petroleum and gas production, offshore;petroleum;RU;;2
17219;petroleum and gas production, offshore;natural gas, high pressure;SA;;2
17220;petroleum and gas production, offshore;petroleum;SA;;2
17221;petroleum and gas production, offshore;natural gas, high pressure;TH;;2
17222;petroleum and gas production, offshore;petroleum;TH;;2
17223;petroleum and gas production, offshore;natural gas, high pressure;TM;;2
17224;petroleum and gas production, offshore;petroleum;TM;;2
17225;petroleum and gas production, offshore;natural gas, high pressure;TR;;2
17226;petroleum and gas production, offshore;petroleum;TR;;2
17227;petroleum and gas production, offshore;natural gas, high pressure;TT;;2
17228;petroleum and gas production, offshore;petroleum;TT;;2
17229;petroleum and gas production, offshore;natural gas, high pressure;US;;2
17230;petroleum and gas production, offshore;petroleum;US;;2
17231;petroleum and gas production, offshore;natural gas, high pressure;VE;;2
17232;petroleum and gas production, offshore;petroleum;VE;;2
17233;petroleum and gas production, onshore;natural gas, high pressure;AE;;2
17234;petroleum and gas production, onshore;petroleum;AE;;2
17235;petroleum and gas production, onshore;natural gas, high pressure;AR;;2
17236;petroleum and gas production, onshore;petroleum;AR;;2
17237;petroleum and gas production, onshore;natural gas, high pressure;AU;;2
17238;petroleum and gas production, onshore;petroleum;AU;;2
17239;petroleum and gas production, onshore;natural gas, high pressure;AZ;;2
17240;petroleum and gas production, onshore;petroleum;AZ;;2
17241;petroleum and gas production, onshore;natural gas, high pressure;BO;;2
17242;petroleum and gas production, onshore;petroleum;BO;;2
17243;petroleum and gas production, onshore;natural gas, high pressure;BR;;2
17244;petroleum and gas production, onshore;petroleum;BR;;2
17245;petroleum and gas production, onshore;natural gas, high pressure;CA;;2
17246;petroleum and gas production, onshore;petroleum;CA;;2
17247;petroleum and gas production, onshore;natural gas, high pressure;CN;;2
17248;petroleum and gas production, onshore;petroleum;CN;;2
17249;petroleum and gas production, onshore;natural gas, high pressure;CO;;2
17250;petroleum and gas production, onshore;petroleum;CO;;2
17251;petroleum and gas production, onshore;natural gas, high pressure;DE;;2
17252;petroleum and gas production, onshore;petroleum;DE;;2
17253;petroleum and gas production, onshore;natural gas, high pressure;DZ;;2
17254;petroleum and gas production, onshore;petroleum;DZ;;2
17255;petroleum and gas production, onshore;natural gas, high pressure;EC;;2
17256;petroleum and gas production, onshore;petroleum;EC;;2
17257;petroleum and gas production, onshore;natural gas, high pressure;EG;;2
17258;petroleum and gas production, onshore;petroleum;EG;;2
