method;category;indicator;unitName;index
ReCiPe 2016 v1.03, endpoint (I) no LT;ecosystem quality no LT;climate change: terrestrial ecosystems no LT;species.yr;430
ReCiPe 2016 v1.03, endpoint (I) no LT;ecosystem quality no LT;ecotoxicity: freshwater no LT;species.yr;431
ReCiPe 2016 v1.03, endpoint (I) no LT;ecosystem quality no LT;ecotoxicity: marine no LT;species.yr;432
ReCiPe 2016 v1.03, endpoint (I) no LT;ecosystem quality no LT;ecotoxicity: terrestrial no LT;species.yr;433
ReCiPe 2016 v1.03, endpoint (I) no LT;ecosystem quality no LT;eutrophication: freshwater no LT;species.yr;434
ReCiPe 2016 v1.03, endpoint (I) no LT;ecosystem quality no LT;eutrophication: marine no LT;species.yr;435
ReCiPe 2016 v1.03, endpoint (I) no LT;ecosystem quality no LT;land use no LT;species.yr;436
ReCiPe 2016 v1.03, endpoint (I) no LT;ecosystem quality no LT;photochemical oxidant formation: terrestrial ecosystems no LT;species.yr;437
ReCiPe 2016 v1.03, endpoint (I) no LT;ecosystem quality no LT;water use: aquatic ecosystems no LT;species.yr;438
ReCiPe 2016 v1.03, endpoint (I) no LT;human health no LT;climate change: human health no LT;DALYs;439
ReCiPe 2016 v1.03, endpoint (I) no LT;human health no LT;human toxicity: carcinogenic no LT;DALYs;440
ReCiPe 2016 v1.03, endpoint (I) no LT;human health no LT;human toxicity: non-carcinogenic no LT;DALYs;441
ReCiPe 2016 v1.03, endpoint (I) no LT;human health no LT;ionising radiation no LT;DALYs;442
ReCiPe 2016 v1.03, endpoint (I) no LT;human health no LT;ozone depletion no LT;DALYs;443
ReCiPe 2016 v1.03, endpoint (I) no LT;human health no LT;particulate matter formation no LT;DALYs;444
ReCiPe 2016 v1.03, endpoint (I) no LT;human health no LT;photochemical oxidant formation: human health no LT;DALYs;445
ReCiPe 2016 v1.03, endpoint (I) no LT;human health no LT;water use: human health no LT;DALYs;446
ReCiPe 2016 v1.03, endpoint (I) no LT;natural resources no LT;energy resources: non-renewable, fossil no LT;USD 2013;447
ReCiPe 2016 v1.03, endpoint (I) no LT;natural resources no LT;material resources: metals/minerals no LT;USD 2013;448
ReCiPe 2016 v1.03, endpoint (I) no LT;total: ecosystem quality no LT;ecosystem quality no LT;species.yr;449
ReCiPe 2016 v1.03, endpoint (I) no LT;total: human health no LT;human health no LT;DALYs;450
ReCiPe 2016 v1.03, endpoint (I) no LT;total: natural resources no LT;natural resources no LT;USD 2013;451
ReCiPe 2016 v1.03, endpoint (I);ecosystem quality;acidification: terrestrial;species.yr;452
ReCiPe 2016 v1.03, endpoint (I);ecosystem quality;climate change: freshwater ecosystems;species.yr;453
ReCiPe 2016 v1.03, endpoint (I);ecosystem quality;climate change: terrestrial ecosystems;species.yr;454
ReCiPe 2016 v1.03, endpoint (I);ecosystem quality;ecotoxicity: freshwater;species.yr;455
ReCiPe 2016 v1.03, endpoint (I);ecosystem quality;ecotoxicity: marine;species.yr;456
ReCiPe 2016 v1.03, endpoint (I);ecosystem quality;ecotoxicity: terrestrial;species.yr;457
ReCiPe 2016 v1.03, endpoint (I);ecosystem quality;eutrophication: freshwater;species.yr;458
ReCiPe 2016 v1.03, endpoint (I);ecosystem quality;eutrophication: marine;species.yr;459
ReCiPe 2016 v1.03, endpoint (I);ecosystem quality;land use;species.yr;460
ReCiPe 2016 v1.03, endpoint (I);ecosystem quality;photochemical oxidant formation: terrestrial ecosystems;species.yr;461
ReCiPe 2016 v1.03, endpoint (I);ecosystem quality;water use: aquatic ecosystems;species.yr;462
ReCiPe 2016 v1.03, endpoint (I);human health;climate change: human health;DALYs;463
ReCiPe 2016 v1.03, endpoint (I);human health;human toxicity: carcinogenic;DALYs;464
ReCiPe 2016 v1.03, endpoint (I);human health;human toxicity: non-carcinogenic;DALYs;465
ReCiPe 2016 v1.03, endpoint (I);human health;ionising radiation;DALYs;466
ReCiPe 2016 v1.03, endpoint (I);human health;ozone depletion;DALYs;467
ReCiPe 2016 v1.03, endpoint (I);human health;particulate matter formation;DALYs;468
ReCiPe 2016 v1.03, endpoint (I);human health;photochemical oxidant formation: human health;DALYs;469
ReCiPe 2016 v1.03, endpoint (I);human health;water use: human health;DALYs;470
ReCiPe 2016 v1.03, endpoint (I);natural resources;energy resources: non-renewable, fossil;USD 2013;471
ReCiPe 2016 v1.03, endpoint (I);natural resources;material resources: metals/minerals;USD 2013;472
ReCiPe 2016 v1.03, endpoint (I);total: ecosystem quality;ecosystem quality;species.yr;473
ReCiPe 2016 v1.03, endpoint (I);total: human health;human health;DALYs;474
ReCiPe 2016 v1.03, endpoint (I);total: natural resources;natural resources;USD 2013;475
ReCiPe 2016 v1.03, midpoint (E) no LT;acidification: terrestrial no LT;terrestrial acidification potential (TAP) no LT;kg SO2-Eq;476
ReCiPe 2016 v1.03, midpoint (E) no LT;climate change no LT;global warming potential (GWP1000) no LT;kg CO2-Eq;477
ReCiPe 2016 v1.03, midpoint (E) no LT;ecotoxicity: freshwater no LT;freshwater ecotoxicity potential (FETP) no LT;kg 1,4-DCB-Eq;478
ReCiPe 2016 v1.03, midpoint (E) no LT;ecotoxicity: marine no LT;marine ecotoxicity potential (METP) no LT;kg 1,4-DCB-Eq;479
ReCiPe 2016 v1.03, midpoint (E) no LT;ecotoxicity: terrestrial no LT;terrestrial ecotoxicity potential (TETP) no LT;kg 1,4-DCB-Eq;480
ReCiPe 2016 v1.03, midpoint (E) no LT;energy resources: non-renewable, fossil no LT;fossil fuel potential (FFP) no LT;kg oil-Eq;481
ReCiPe 2016 v1.03, midpoint (E) no LT;eutrophication: freshwater no LT;freshwater eutrophication potential (FEP) no LT;kg P-Eq;482
ReCiPe 2016 v1.03, midpoint (E) no LT;eutrophication: marine no LT;marine eutrophication potential (MEP) no LT;kg N-Eq;483
ReCiPe 2016 v1.03, midpoint (E) no LT;human toxicity: carcinogenic no LT;human toxicity potential (HTPc) no LT;kg 1,4-DCB-Eq;484
ReCiPe 2016 v1.03, midpoint (E) no LT;human toxicity: non-carcinogenic no LT;human toxicity potential (HTPnc) no LT;kg 1,4-DCB-Eq;485
ReCiPe 2016 v1.03, midpoint (E) no LT;ionising radiation no LT;ionising radiation potential (IRP) no LT;kBq Co-60-Eq;486
ReCiPe 2016 v1.03, midpoint (E) no LT;land use no LT;agricultural land occupation (LOP) no LT;m2*a crop-Eq;487
ReCiPe 2016 v1.03, midpoint (E) no LT;material resources: metals/minerals no LT;surplus ore potential (SOP) no LT;kg Cu-Eq;488
ReCiPe 2016 v1.03, midpoint (E) no LT;ozone depletion no LT;ozone depletion potential (ODPinfinite) no LT;kg CFC-11-Eq;489
ReCiPe 2016 v1.03, midpoint (E) no LT;particulate matter formation no LT;particulate matter formation potential (PMFP) no LT;kg PM2.5-Eq;490
ReCiPe 2016 v1.03, midpoint (E) no LT;photochemical oxidant formation: human health no LT;photochemical oxidant formation potential: humans (HOFP) no LT;kg NOx-Eq;491
ReCiPe 2016 v1.03, midpoint (E) no LT;photochemical oxidant formation: terrestrial ecosystems no LT;photochemical oxidant formation potential: ecosystems (EOFP) no LT;kg NOx-Eq;492
ReCiPe 2016 v1.03, midpoint (E) no LT;water use no LT;water consumption potential (WCP) no LT;m3;493
ReCiPe 2016 v1.03, midpoint (E);acidification: terrestrial;terrestrial acidification potential (TAP);kg SO2-Eq;494
ReCiPe 2016 v1.03, midpoint (E);climate change;global warming potential (GWP1000);kg CO2-Eq;495
ReCiPe 2016 v1.03, midpoint (E);ecotoxicity: freshwater;freshwater ecotoxicity potential (FETP);kg 1,4-DCB-Eq;496
ReCiPe 2016 v1.03, midpoint (E);ecotoxicity: marine;marine ecotoxicity potential (METP);kg 1,4-DCB-Eq;497
ReCiPe 2016 v1.03, midpoint (E);ecotoxicity: terrestrial;terrestrial ecotoxicity potential (TETP);kg 1,4-DCB-Eq;498
ReCiPe 2016 v1.03, midpoint (E);energy resources: non-renewable, fossil;fossil fuel potential (FFP);kg oil-Eq;499
ReCiPe 2016 v1.03, midpoint (E);eutrophication: freshwater;freshwater eutrophication potential (FEP);kg P-Eq;500
ReCiPe 2016 v1.03, midpoint (E);eutrophication: marine;marine eutrophication potential (MEP);kg N-Eq;501
ReCiPe 2016 v1.03, midpoint (E);human toxicity: carcinogenic;human toxicity potential (HTPc);kg 1,4-DCB-Eq;502
ReCiPe 2016 v1.03, midpoint (E);human toxicity: non-carcinogenic;human toxicity potential (HTPnc);kg 1,4-DCB-Eq;503
ReCiPe 2016 v1.03, midpoint (E);ionising radiation;ionising radiation potential (IRP);kBq Co-60-Eq;504
ReCiPe 2016 v1.03, midpoint (E);land use;agricultural land occupation (LOP);m2*a crop-Eq;505
ReCiPe 2016 v1.03, midpoint (E);material resources: metals/minerals;surplus ore potential (SOP);kg Cu-Eq;506
ReCiPe 2016 v1.03, midpoint (E);ozone depletion;ozone depletion potential (ODPinfinite);kg CFC-11-Eq;507
ReCiPe 2016 v1.03, midpoint (E);particulate matter formation;particulate matter formation potential (PMFP);kg PM2.5-Eq;508
ReCiPe 2016 v1.03, midpoint (E);photochemical oxidant formation: human health;photochemical oxidant formation potential: humans (HOFP);kg NOx-Eq;509
ReCiPe 2016 v1.03, midpoint (E);photochemical oxidant formation: terrestrial ecosystems;photochemical oxidant formation potential: ecosystems (EOFP);kg NOx-Eq;510
ReCiPe 2016 v1.03, midpoint (E);water use;water consumption potential (WCP);m3;511
ReCiPe 2016 v1.03, midpoint (H) no LT;acidification: terrestrial no LT;terrestrial acidification potential (TAP) no LT;kg SO2-Eq;512
ReCiPe 2016 v1.03, midpoint (H) no LT;climate change no LT;global warming potential (GWP100) no LT;kg CO2-Eq;513
ReCiPe 2016 v1.03, midpoint (H) no LT;ecotoxicity: freshwater no LT;freshwater ecotoxicity potential (FETP) no LT;kg 1,4-DCB-Eq;514
ReCiPe 2016 v1.03, midpoint (H) no LT;ecotoxicity: marine no LT;marine ecotoxicity potential (METP) no LT;kg 1,4-DCB-Eq;515
ReCiPe 2016 v1.03, midpoint (H) no LT;ecotoxicity: terrestrial no LT;terrestrial ecotoxicity potential (TETP) no LT;kg 1,4-DCB-Eq;516
ReCiPe 2016 v1.03, midpoint (H) no LT;energy resources: non-renewable, fossil no LT;fossil fuel potential (FFP) no LT;kg oil-Eq;517
ReCiPe 2016 v1.03, midpoint (H) no LT;eutrophication: freshwater no LT;freshwater eutrophication potential (FEP) no LT;kg P-Eq;518
ReCiPe 2016 v1.03, midpoint (H) no LT;eutrophication: marine no LT;marine eutrophication potential (MEP) no LT;kg N-Eq;519
ReCiPe 2016 v1.03, midpoint (H) no LT;human toxicity: carcinogenic no LT;human toxicity potential (HTPc) no LT;kg 1,4-DCB-Eq;520
ReCiPe 2016 v1.03, midpoint (H) no LT;human toxicity: non-carcinogenic no LT;human toxicity potential (HTPnc) no LT;kg 1,4-DCB-Eq;521
ReCiPe 2016 v1.03, midpoint (H) no LT;ionising radiation no LT;ionising radiation potential (IRP) no LT;kBq Co-60-Eq;522
ReCiPe 2016 v1.03, midpoint (H) no LT;land use no LT;agricultural land occupation (LOP) no LT;m2*a crop-Eq;523
ReCiPe 2016 v1.03, midpoint (H) no LT;material resources: metals/minerals no LT;surplus ore potential (SOP) no LT;kg Cu-Eq;524
ReCiPe 2016 v1.03, midpoint (H) no LT;ozone depletion no LT;ozone depletion potential (ODPinfinite) no LT;kg CFC-11-Eq;525
ReCiPe 2016 v1.03, midpoint (H) no LT;particulate matter formation no LT;particulate matter formation potential (PMFP) no LT;kg PM2.5-Eq;526
ReCiPe 2016 v1.03, midpoint (H) no LT;photochemical oxidant formation: human health no LT;photochemical oxidant formation potential: humans (HOFP) no LT;kg NOx-Eq;527
ReCiPe 2016 v1.03, midpoint (H) no LT;photochemical oxidant formation: terrestrial ecosystems no LT;photochemical oxidant formation potential: ecosystems (EOFP) no LT;kg NOx-Eq;528
ReCiPe 2016 v1.03, midpoint (H) no LT;water use no LT;water consumption potential (WCP) no LT;m3;529
ReCiPe 2016 v1.03, midpoint (H);acidification: terrestrial;terrestrial acidification potential (TAP);kg SO2-Eq;530
ReCiPe 2016 v1.03, midpoint (H);climate change;global warming potential (GWP100);kg CO2-Eq;531
ReCiPe 2016 v1.03, midpoint (H);ecotoxicity: freshwater;freshwater ecotoxicity potential (FETP);kg 1,4-DCB-Eq;532
ReCiPe 2016 v1.03, midpoint (H);ecotoxicity: marine;marine ecotoxicity potential (METP);kg 1,4-DCB-Eq;533
ReCiPe 2016 v1.03, midpoint (H);ecotoxicity: terrestrial;terrestrial ecotoxicity potential (TETP);kg 1,4-DCB-Eq;534
ReCiPe 2016 v1.03, midpoint (H);energy resources: non-renewable, fossil;fossil fuel potential (FFP);kg oil-Eq;535
ReCiPe 2016 v1.03, midpoint (H);eutrophication: freshwater;freshwater eutrophication potential (FEP);kg P-Eq;536
ReCiPe 2016 v1.03, midpoint (H);eutrophication: marine;marine eutrophication potential (MEP);kg N-Eq;537
ReCiPe 2016 v1.03, midpoint (H);human toxicity: carcinogenic;human toxicity potential (HTPc);kg 1,4-DCB-Eq;538
ReCiPe 2016 v1.03, midpoint (H);human toxicity: non-carcinogenic;human toxicity potential (HTPnc);kg 1,4-DCB-Eq;539
ReCiPe 2016 v1.03, midpoint (H);ionising radiation;ionising radiation potential (IRP);kBq Co-60-Eq;540
ReCiPe 2016 v1.03, midpoint (H);land use;agricultural land occupation (LOP);m2*a crop-Eq;541
ReCiPe 2016 v1.03, midpoint (H);material resources: metals/minerals;surplus ore potential (SOP);kg Cu-Eq;542
ReCiPe 2016 v1.03, midpoint (H);ozone depletion;ozone depletion potential (ODPinfinite);kg CFC-11-Eq;543
ReCiPe 2016 v1.03, midpoint (H);particulate matter formation;particulate matter formation potential (PMFP);kg PM2.5-Eq;544
ReCiPe 2016 v1.03, midpoint (H);photochemical oxidant formation: human health;photochemical oxidant formation potential: humans (HOFP);kg NOx-Eq;545
ReCiPe 2016 v1.03, midpoint (H);photochemical oxidant formation: terrestrial ecosystems;photochemical oxidant formation potential: ecosystems (EOFP);kg NOx-Eq;546
ReCiPe 2016 v1.03, midpoint (H);water use;water consumption potential (WCP);m3;547
ReCiPe 2016 v1.03, midpoint (I) no LT;acidification: terrestrial no LT;terrestrial acidification potential (TAP) no LT;kg SO2-Eq;548
ReCiPe 2016 v1.03, midpoint (I) no LT;climate change no LT;global warming potential (GWP20) no LT;kg CO2-Eq;549
ReCiPe 2016 v1.03, midpoint (I) no LT;ecotoxicity: freshwater no LT;freshwater ecotoxicity potential (FETP) no LT;kg 1,4-DCB-Eq;550
ReCiPe 2016 v1.03, midpoint (I) no LT;ecotoxicity: marine no LT;marine ecotoxicity potential (METP) no LT;kg 1,4-DCB-Eq;551
ReCiPe 2016 v1.03, midpoint (I) no LT;ecotoxicity: terrestrial no LT;terrestrial ecotoxicity potential (TETP) no LT;kg 1,4-DCB-Eq;552
ReCiPe 2016 v1.03, midpoint (I) no LT;energy resources: non-renewable, fossil no LT;fossil fuel potential (FFP) no LT;kg oil-Eq;553
ReCiPe 2016 v1.03, midpoint (I) no LT;eutrophication: freshwater no LT;freshwater eutrophication potential (FEP) no LT;kg P-Eq;554
ReCiPe 2016 v1.03, midpoint (I) no LT;eutrophication: marine no LT;marine eutrophication potential (MEP) no LT;kg N-Eq;555
ReCiPe 2016 v1.03, midpoint (I) no LT;human toxicity: carcinogenic no LT;human toxicity potential (HTPc) no LT;kg 1,4-DCB-Eq;556
ReCiPe 2016 v1.03, midpoint (I) no LT;human toxicity: non-carcinogenic no LT;human toxicity potential (HTPnc) no LT;kg 1,4-DCB-Eq;557
ReCiPe 2016 v1.03, midpoint (I) no LT;ionising radiation no LT;ionising radiation potential (IRP) no LT;kBq Co-60-Eq;558
ReCiPe 2016 v1.03, midpoint (I) no LT;land use no LT;agricultural land occupation (LOP) no LT;m2*a crop-Eq;559
ReCiPe 2016 v1.03, midpoint (I) no LT;material resources: metals/minerals no LT;surplus ore potential (SOP) no LT;kg Cu-Eq;560
ReCiPe 2016 v1.03, midpoint (I) no LT;ozone depletion no LT;ozone depletion potential (ODPinfinite) no LT;kg CFC-11-Eq;561
ReCiPe 2016 v1.03, midpoint (I) no LT;particulate matter formation no LT;particulate matter formation potential (PMFP) no LT;kg PM2.5-Eq;562
ReCiPe 2016 v1.03, midpoint (I) no LT;photochemical oxidant formation: human health no LT;photochemical oxidant formation potential: humans (HOFP) no LT;kg NOx-Eq;563
ReCiPe 2016 v1.03, midpoint (I) no LT;photochemical oxidant formation: terrestrial ecosystems no LT;photochemical oxidant formation potential: ecosystems (EOFP) no LT;kg NOx-Eq;564
ReCiPe 2016 v1.03, midpoint (I) no LT;water use no LT;water consumption potential (WCP) no LT;m3;565
ReCiPe 2016 v1.03, midpoint (I);acidification: terrestrial;terrestrial acidification potential (TAP);kg SO2-Eq;566
ReCiPe 2016 v1.03, midpoint (I);climate change;global warming potential (GWP20);kg CO2-Eq;567
ReCiPe 2016 v1.03, midpoint (I);ecotoxicity: freshwater;freshwater ecotoxicity potential (FETP);kg 1,4-DCB-Eq;568
ReCiPe 2016 v1.03, midpoint (I);ecotoxicity: marine;marine ecotoxicity potential (METP);kg 1,4-DCB-Eq;569
ReCiPe 2016 v1.03, midpoint (I);ecotoxicity: terrestrial;terrestrial ecotoxicity potential (TETP);kg 1,4-DCB-Eq;570
ReCiPe 2016 v1.03, midpoint (I);energy resources: non-renewable, fossil;fossil fuel potential (FFP);kg oil-Eq;571
ReCiPe 2016 v1.03, midpoint (I);eutrophication: freshwater;freshwater eutrophication potential (FEP);kg P-Eq;572
ReCiPe 2016 v1.03, midpoint (I);eutrophication: marine;marine eutrophication potential (MEP);kg N-Eq;573
ReCiPe 2016 v1.03, midpoint (I);human toxicity: carcinogenic;human toxicity potential (HTPc);kg 1,4-DCB-Eq;574
ReCiPe 2016 v1.03, midpoint (I);human toxicity: non-carcinogenic;human toxicity potential (HTPnc);kg 1,4-DCB-Eq;575
ReCiPe 2016 v1.03, midpoint (I);ionising radiation;ionising radiation potential (IRP);kBq Co-60-Eq;576
ReCiPe 2016 v1.03, midpoint (I);land use;agricultural land occupation (LOP);m2*a crop-Eq;577
ReCiPe 2016 v1.03, midpoint (I);material resources: metals/minerals;surplus ore potential (SOP);kg Cu-Eq;578
ReCiPe 2016 v1.03, midpoint (I);ozone depletion;ozone depletion potential (ODPinfinite);kg CFC-11-Eq;579
ReCiPe 2016 v1.03, midpoint (I);particulate matter formation;particulate matter formation potential (PMFP);kg PM2.5-Eq;580
ReCiPe 2016 v1.03, midpoint (I);photochemical oxidant formation: human health;photochemical oxidant formation potential: humans (HOFP);kg NOx-Eq;581
ReCiPe 2016 v1.03, midpoint (I);photochemical oxidant formation: terrestrial ecosystems;photochemical oxidant formation potential: ecosystems (EOFP);kg NOx-Eq;582
ReCiPe 2016 v1.03, midpoint (I);water use;water consumption potential (WCP);m3;583
TRACI v2.1 no LT;acidification no LT;acidification potential (AP) no LT;kg SO2-Eq;584
TRACI v2.1 no LT;climate change no LT;global warming potential (GWP100) no LT;kg CO2-Eq;585
TRACI v2.1 no LT;ecotoxicity: freshwater no LT;ecotoxicity: freshwater no LT;CTUe;586
TRACI v2.1 no LT;eutrophication no LT;eutrophication potential no LT;kg N-Eq;587
TRACI v2.1 no LT;human toxicity: carcinogenic no LT;human toxicity: carcinogenic no LT;CTUh;588
TRACI v2.1 no LT;human toxicity: non-carcinogenic no LT;human toxicity: non-carcinogenic no LT;CTUh;589
TRACI v2.1 no LT;ozone depletion no LT;ozone depletion potential (ODP) no LT;kg CFC-11-Eq;590
TRACI v2.1 no LT;particulate matter formation no LT;particulate matter formation potential (PMFP) no LT;kg PM2.5-Eq;591
TRACI v2.1 no LT;photochemical oxidant formation no LT;maximum incremental reactivity (MIR) no LT;kg O3-Eq;592
TRACI v2.1;acidification;acidification potential (AP);kg SO2-Eq;593
TRACI v2.1;climate change;global warming potential (GWP100);kg CO2-Eq;594
TRACI v2.1;ecotoxicity: freshwater;ecotoxicity: freshwater;CTUe;595
TRACI v2.1;eutrophication;eutrophication potential;kg N-Eq;596
TRACI v2.1;human toxicity: carcinogenic;human toxicity: carcinogenic;CTUh;597
TRACI v2.1;human toxicity: non-carcinogenic;human toxicity: non-carcinogenic;CTUh;598
TRACI v2.1;ozone depletion;ozone depletion potential (ODP);kg CFC-11-Eq;599
TRACI v2.1;particulate matter formation;particulate matter formation potential (PMFP);kg PM2.5-Eq;600
TRACI v2.1;photochemical oxidant formation;maximum incremental reactivity (MIR);kg O3-Eq;601
USEtox v2.13, endpoint no LT;ecosystem quality no LT;ecotoxicity: freshwater no LT;PDF.m3.yr;602
USEtox v2.13, endpoint no LT;human health no LT;human toxicity: carcinogenic no LT;DALYs;603
USEtox v2.13, endpoint no LT;human health no LT;human toxicity: non-carcinogenic no LT;DALYs;604
USEtox v2.13, endpoint;ecosystem quality;ecotoxicity: freshwater;PDF.m3.yr;605
USEtox v2.13, endpoint;human health;human toxicity: carcinogenic;DALYs;606
USEtox v2.13, endpoint;human health;human toxicity: non-carcinogenic;DALYs;607
USEtox v2.13, midpoint no LT;ecotoxicity: freshwater no LT;comparative toxic unit for ecosystems (CTUe) no LT;CTUe;608
USEtox v2.13, midpoint no LT;human toxicity: carcinogenic no LT;comparative toxic unit for human (CTUh) no LT;CTUh;609
USEtox v2.13, midpoint no LT;human toxicity: non-carcinogenic no LT;comparative toxic unit for human (CTUh) no LT;CTUh;610
USEtox v2.13, midpoint;ecotoxicity: freshwater;comparative toxic unit for ecosystems (CTUe);CTUe;611
USEtox v2.13, midpoint;human toxicity: carcinogenic;comparative toxic unit for human (CTUh);CTUh;612
USEtox v2.13, midpoint;human toxicity: non-carcinogenic;comparative toxic unit for human (CTUh);CTUh;613
