name;compartment;subcompartment;unitName;index;name
Aluminium;natural resource;in ground;kg;155;Aluminium
Anhydrite;natural resource;in ground;kg;185;Anhydrite
Antimony;natural resource;in ground;kg;197;Antimony
Arsenic;natural resource;in ground;kg;221;Arsenic
Barium;natural resource;in ground;kg;257;Barium
Basalt;natural resource;in ground;kg;273;Basalt
Beryllium;natural resource;in ground;kg;315;Beryllium
Borax;natural resource;in ground;kg;346;Borax
Boron;natural resource;in ground;kg;352;Boron
Cadmium;natural resource;in ground;kg;410;Cadmium
Calcite;natural resource;in ground;kg;436;Calcite
Calcium;natural resource;in ground;kg;437;Calcium
Cerium;natural resource;in ground;kg;521;Cerium
Chromium;natural resource;in ground;kg;598;Chromium
Chrysotile;natural resource;in ground;kg;627;Chrysotile
Cinnabar;natural resource;in ground;kg;629;Cinnabar
Clay, bentonite;natural resource;in ground;kg;630;Clay, bentonite
Clay, unspecified;natural resource;in ground;kg;631;Clay, unspecified
Coal, brown;natural resource;in ground;kg;650;Coal, brown
Coal, hard;natural resource;in ground;kg;651;Coal, hard
Cobalt;natural resource;in ground;kg;652;Cobalt
Colemanite;natural resource;in ground;kg;673;Colemanite
Copper;natural resource;in ground;kg;674;Copper
Diatomite;natural resource;in ground;kg;744;Diatomite
Dolomite;natural resource;in ground;kg;863;Dolomite
Dysprosium;natural resource;in ground;kg;864;Dysprosium
Erbium;natural resource;in ground;kg;886;Erbium
Europium;natural resource;in ground;kg;941;Europium
Feldspar;natural resource;in ground;kg;943;Feldspar
Fluorine;natural resource;in ground;kg;1014;Fluorine
Fluorspar;natural resource;in ground;kg;1016;Fluorspar
Gadolinium;natural resource;in ground;kg;1066;Gadolinium
Gallium;natural resource;in ground;kg;1067;Gallium
Gangue;natural resource;in ground;kg;1069;Gangue
Gas, mine, off-gas, process, coal mining;natural resource;in ground;Sm3;1070;Gas, mine, off-gas, process, coal mining
Gas, natural;natural resource;in ground;Sm3;1071;Gas, natural
Gold;natural resource;in ground;kg;1089;Gold
Granite;natural resource;in ground;kg;1090;Granite
Graphite;natural resource;in ground;kg;1091;Graphite
Gravel;natural resource;in ground;kg;1092;Gravel
Gypsum;natural resource;in ground;kg;1093;Gypsum
Hafnium;natural resource;in ground;kg;1094;Hafnium
Holmium;natural resource;in ground;kg;1134;Holmium
Indium;natural resource;in ground;kg;1216;Indium
Iridium;natural resource;in ground;kg;1249;Iridium
Iron;natural resource;in ground;kg;1250;Iron
Kaolinite;natural resource;in ground;kg;1286;Kaolinite
Kieserite;natural resource;in ground;kg;1288;Kieserite
Lanthanum;natural resource;in ground;kg;1312;Lanthanum
Laterite;natural resource;in ground;kg;1316;Laterite
Lead;natural resource;in ground;kg;1319;Lead
Lithium;natural resource;in ground;kg;1342;Lithium
Lutetium;natural resource;in ground;kg;1351;Lutetium
Magnesite;natural resource;in ground;kg;1361;Magnesite
Magnesium;natural resource;in ground;kg;1366;Magnesium
Manganese;natural resource;in ground;kg;1386;Manganese
Mercury;natural resource;in ground;kg;1408;Mercury
Molybdenum;natural resource;in ground;kg;1514;Molybdenum
Neodymium;natural resource;in ground;kg;1550;Neodymium
Nickel;natural resource;in ground;kg;1551;Nickel
Niobium;natural resource;in ground;kg;1571;Niobium
Oil, crude;natural resource;in ground;kg;1668;Oil, crude
Olivine;natural resource;in ground;kg;1681;Olivine
Osmium;natural resource;in ground;kg;1688;Osmium
Palladium;natural resource;in ground;kg;1708;Palladium
Perlite;natural resource;in ground;kg;1754;Perlite
Phosphorus;natural resource;in ground;kg;1794;Phosphorus
Platinum;natural resource;in ground;kg;1816;Platinum
Potassium;natural resource;in ground;kg;1831;Potassium
Praseodymium;natural resource;in ground;kg;1850;Praseodymium
Pumice;natural resource;in ground;kg;1907;Pumice
Pyrite;natural resource;in ground;kg;1932;Pyrite
Rhenium;natural resource;in ground;kg;1977;Rhenium
Rhodium;natural resource;in ground;kg;1978;Rhodium
Ruthenium;natural resource;in ground;kg;1984;Ruthenium
Samarium;natural resource;in ground;kg;2000;Samarium
Sand, unspecified;natural resource;in ground;kg;2001;Sand, unspecified
Scandium;natural resource;in ground;kg;2006;Scandium
Selenium;natural resource;in ground;kg;2015;Selenium
Shale;natural resource;in ground;kg;2032;Shale
Silicon;natural resource;in ground;kg;2037;Silicon
Silver;natural resource;in ground;kg;2051;Silver
Sodium;natural resource;in ground;kg;2072;Sodium
Sodium chloride;natural resource;in ground;kg;2086;Sodium chloride
Sodium nitrate;natural resource;in ground;kg;2096;Sodium nitrate
Sodium sulfate;natural resource;in ground;kg;2097;Sodium sulfate
Spodumene;natural resource;in ground;kg;2109;Spodumene
Steatite;natural resource;in ground;kg;2110;Steatite
Stibnite;natural resource;in ground;kg;2111;Stibnite
Strontium;natural resource;in ground;kg;2112;Strontium
Sulfur;natural resource;in ground;kg;2154;Sulfur
Sylvite;natural resource;in ground;kg;2188;Sylvite
Talc;natural resource;in ground;kg;2195;Talc
Tantalum;natural resource;in ground;kg;2196;Tantalum
Tellurium;natural resource;in ground;kg;2221;Tellurium
Terbium;natural resource;in ground;kg;2227;Terbium
Thulium;natural resource;in ground;kg;2305;Thulium
Tin;natural resource;in ground;kg;2306;Tin
Titanium;natural resource;in ground;kg;2319;Titanium
Tungsten;natural resource;in ground;kg;2492;Tungsten
Ulexite;natural resource;in ground;kg;2498;Ulexite
Uranium;natural resource;in ground;kg;2502;Uranium
Vanadium;natural resource;in ground;kg;2525;Vanadium
Vermiculite;natural resource;in ground;kg;2538;Vermiculite
Ytterbium;natural resource;in ground;kg;2590;Ytterbium
Yttrium;natural resource;in ground;kg;2591;Yttrium
Zinc;natural resource;in ground;kg;2593;Zinc
Zirconium;natural resource;in ground;kg;2615;Zirconium
